step,queue_length
0,3
1,11
2,25
3,18
4,29
5,27
6,34
7,18
8,21
9,33
10,21
11,20
12,19
13,48
14,36
15,39
16,29
17,30
18,30
19,45
20,52
21,30
22,29
23,39
24,30
25,36
26,37
27,46
28,29
29,31
30,47
31,28
32,29
33,25
34,42
35,25
36,28
37,24
38,34
39,30
40,40
41,11
42,44
43,28
44,43
45,8
46,32
47,10
48,21
49,24
50,33
51,12
52,32
53,16
54,31
55,9
56,30
57,6
58,32
59,16
60,46
61,17
62,32
63,32
64,30
65,16
66,47
67,19
68,36
69,12
70,33
71,19
72,28
73,20
74,43
75,15
76,39
77,28
78,41
79,19
80,13
81,21
82,17
83,9
84,8
85,3
86,16
87,24
88,26
89,16
90,6
91,10
92,16
93,9
94,16
95,23
96,23
97,5
98,25
99,5
100,22
101,13
102,10
103,9
104,6
105,19
106,8
107,12
108,6
109,14
110,12
111,24
112,15
113,13
114,29
115,14
116,17
117,7
118,23
119,7
120,15
121,9
122,10
123,11
124,9
125,8
126,6
127,6
128,12
129,9
130,8
131,12
132,15
133,8
134,2
135,1
136,8
137,3
138,9
139,0
140,2
141,0
142,7
143,4
144,0
145,5
146,4
147,7
148,0
149,2
150,3
151,2
152,2
153,0
154,11
155,6
156,0
157,4
158,0
159,4
160,0
161,3
162,0
163,2
164,0
165,0
166,4
167,0
168,2
169,0
170,3
171,6
172,13
173,16
174,16
175,16
176,16
177,16
178,18
179,16
180,16
181,16
182,12
183,7
184,7
185,7
186,9
187,7
188,7
189,7
190,12
191,7
192,12
193,7
194,7
195,9
196,7
197,7
198,7
199,7
200,7
201,7
202,7
203,7
204,7
205,7
206,7
207,7
208,9
209,7
210,7
211,7
212,7
213,7
214,7
215,7
216,7
217,7
218,7
219,7
220,7
221,7
222,7
223,7
224,7
225,7
226,7
227,7
228,7
229,7
230,7
231,7
232,7
233,2
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,5
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,5
294,0
295,4
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,5
313,0
314,5
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,3
358,0
359,3
360,0
361,3
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
