step,queue_length
0,0
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,5
13,4
14,4
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,4
34,4
35,10
36,10
37,10
38,10
39,10
40,10
41,10
42,10
43,15
44,15
45,11
46,11
47,11
48,11
49,17
50,17
51,17
52,20
53,20
54,21
55,21
56,23
57,25
58,25
59,25
60,19
61,13
62,13
63,13
64,13
65,13
66,16
67,16
68,16
69,16
70,16
71,18
72,18
73,18
74,18
75,22
76,22
77,26
78,20
79,20
80,30
81,30
82,32
83,36
84,41
85,41
86,41
87,43
88,43
89,43
90,11
91,13
92,13
93,13
94,13
95,13
96,13
97,16
98,17
99,17
100,17
101,17
102,17
103,17
104,17
105,19
106,19
107,19
108,19
109,23
110,27
111,27
112,30
113,32
114,34
115,38
116,38
117,42
118,42
119,42
120,43
121,39
122,39
123,39
124,37
125,37
126,39
127,39
128,41
129,45
130,52
131,52
132,56
133,66
134,66
135,41
136,41
137,44
138,44
139,44
140,41
141,25
142,31
143,31
144,34
145,37
146,38
147,38
148,41
149,45
150,42
151,42
152,46
153,47
154,47
155,47
156,57
157,57
158,59
159,65
160,65
161,66
162,73
163,73
164,73
165,78
166,80
167,86
168,88
169,90
170,101
171,109
172,116
173,119
174,127
175,131
176,147
177,150
178,158
179,158
180,47
181,23
182,19
183,27
184,27
185,31
186,33
187,33
188,40
189,45
190,49
191,54
192,54
193,61
194,61
195,70
196,70
197,70
198,70
199,70
200,78
201,78
202,81
203,95
204,95
205,103
206,111
207,113
208,125
209,129
210,113
211,113
212,118
213,127
214,134
215,143
216,146
217,146
218,146
219,154
220,152
221,152
222,152
223,156
224,156
225,97
226,68
227,68
228,86
229,90
230,96
231,72
232,67
233,62
234,61
235,65
236,72
237,78
238,89
239,96
240,106
241,111
242,128
243,139
244,159
245,167
246,182
247,186
248,196
249,198
250,209
251,213
252,218
253,219
254,229
255,235
256,244
257,254
258,257
259,262
260,261
261,264
262,271
263,283
264,286
265,286
266,295
267,296
268,305
269,305
270,133
271,62
272,28
273,30
274,33
275,35
276,44
277,50
278,54
279,54
280,58
281,67
282,67
283,67
284,72
285,76
286,83
287,83
288,87
289,93
290,97
291,105
292,113
293,119
294,138
295,150
296,154
297,160
298,163
299,169
300,155
301,161
302,168
303,186
304,184
305,195
306,199
307,199
308,202
309,204
310,200
311,204
312,209
313,211
314,204
315,131
316,110
317,90
318,91
319,96
320,110
321,94
322,94
323,93
324,90
325,103
326,118
327,122
328,130
329,133
330,148
331,149
332,157
333,167
334,181
335,189
336,196
337,216
338,225
339,227
340,228
341,236
342,236
343,254
344,261
345,266
346,269
347,273
348,266
349,271
350,267
351,282
352,289
353,292
354,302
355,304
356,303
357,305
358,310
359,316
360,123
361,45
362,9
363,13
364,23
365,31
366,37
367,50
368,54
369,58
370,58
371,58
372,62
373,62
374,62
375,65
376,65
377,65
378,65
379,73
380,75
381,71
382,79
383,81
384,96
385,100
386,113
387,123
388,131
389,135
390,131
391,135
392,140
393,146
394,146
395,156
396,173
397,178
398,183
399,187
400,188
401,201
402,209
403,214
404,208
405,137
406,111
407,102
408,102
409,105
410,109
411,98
412,105
413,114
414,114
415,117
416,123
417,127
418,131
419,142
420,146
421,154
422,154
423,161
424,173
425,187
426,201
427,213
428,215
429,222
430,224
431,228
432,228
433,240
434,240
435,245
436,248
437,250
438,251
439,257
440,259
441,261
442,263
443,268
444,274
445,280
446,280
447,283
448,287
449,295
450,129
451,63
452,32
453,15
454,16
455,20
456,20
457,24
458,24
459,24
460,24
461,28
462,28
463,28
464,28
465,28
466,28
467,28
468,28
469,32
470,40
471,44
472,48
473,48
474,55
475,59
476,63
477,67
478,71
479,77
480,78
481,80
482,89
483,91
484,94
485,98
486,103
487,105
488,110
489,114
490,124
491,127
492,127
493,131
494,127
495,63
496,49
497,45
498,49
499,53
500,57
501,60
502,67
503,75
504,82
505,87
506,91
507,91
508,91
509,95
510,88
511,92
512,104
513,108
514,115
515,118
516,134
517,137
518,153
519,153
520,159
521,159
522,159
523,170
524,170
525,183
526,185
527,188
528,195
529,191
530,194
531,198
532,198
533,202
534,206
535,209
536,212
537,215
538,221
539,224
540,79
541,29
542,9
543,10
544,10
545,10
546,10
547,10
548,10
549,10
550,10
551,10
552,10
553,10
554,10
555,10
556,10
557,10
558,10
559,14
560,14
561,16
562,24
563,28
564,44
565,44
566,48
567,52
568,52
569,58
570,54
571,59
572,59
573,65
574,69
575,69
576,69
577,71
578,71
579,76
580,72
581,72
582,72
583,74
584,68
585,48
586,32
587,30
588,26
589,32
590,35
591,35
592,36
593,36
594,41
595,41
596,42
597,42
598,47
599,47
600,59
601,64
602,74
603,74
604,74
605,76
